FID,JURISDCTN,DISTRICT,BEAT,NUMPOINTS
30,IMPD,Downtown,DT21,9712
102,IMPD,Southwest,SW31,6237
62,IMPD,Southeast,SE12,5632
86,Speedway,Excluded,Excluded,5416
43,IMPD,East,ED33,5140
31,IMPD,Downtown,DT12,4998
75,IMPD,North,ND11,4956
63,IMPD,Southeast,SE32,4875
14,IMPD,Northwest,NW41,4821
25,IMPD,Northwest,NW82,4716
88,IMPD,North,ND23,4692
80,IMPD,Southeast,SE41,4654
53,IMPD,Southwest,SW11,4311
20,IMPD,Northwest,NW12,4297
96,IMPD,Downtown,DT11,4278
47,IMPD,East,ED14,4211
29,IMPD,Downtown,DT22,4164
17,IMPD,Northwest,NW32,4016
48,IMPD,Southeast,SE11,3998
50,IMPD,Southeast,SE61,3927
70,Beech Grove,Excluded,Excluded,3916
99,IMPD,North,ND32,3835
57,IMPD,East,ED42,3732
98,IMPD,North,ND31,3710
23,IMPD,Northwest,NW72,3660
46,IMPD,East,ED62,3656
45,IMPD,East,ED61,3634
7,IMPD,North,ND21,3589
76,IMPD,East,ED52,3527
42,IMPD,East,ED43,3517
74,IMPD,North,ND72,3463
32,IMPD,East,ED12,3453
40,IMPD,Southeast,SE51,3430
21,IMPD,Northwest,NW21,3419
26,IMPD,Northwest,NW81,3396
104,IMPD,Southwest,SW41,3313
56,IMPD,East,ED34,3306
64,IMPD,Southeast,SE31,3285
61,IMPD,East,ED21,3278
44,IMPD,East,ED63,3235
79,IMPD,Southeast,SE22,3148
66,IMPD,Southeast,SE24,3112
38,IMPD,Southeast,SE52,3108
72,IMPD,East,ED22,3085
77,IMPD,East,ED53,3032
33,IMPD,East,ED31,3004
60,IMPD,East,ED32,2954
59,IMPD,East,ED13,2946
58,IMPD,East,ED11,2927
90,IMPD,North,ND13,2907
18,IMPD,Northwest,NW31,2896
111,IMPD,North,ND41,2833
34,IMPD,East,ED41,2727
109,IMPD,North,ND43,2679
27,IMPD,Northwest,NW61,2663
65,IMPD,Southeast,SE23,2632
110,IMPD,North,ND52,2626
51,IMPD,Southwest,SW22,2615
73,IMPD,North,ND71,2606
89,IMPD,North,ND22,2594
78,IMPD,Southeast,SE21,2518
15,IMPD,Northwest,NW42,2456
35,IMPD,East,ED54,2447
87,IMPD,North,ND12,2442
67,IMPD,Northwest,NW23,2441
55,IMPD,Southwest,SW53,2370
103,IMPD,Southwest,SW12,2364
54,IMPD,Southwest,SW32,2362
19,IMPD,Northwest,NW11,2251
16,IMPD,Northwest,NW33,2207
28,IMPD,Northwest,NW52,2193
41,IMPD,East,ED51,2122
101,IMPD,Southwest,SW51,2118
97,IMPD,North,ND33,2096
107,IMPD,Southwest,SW42,1989
10,IMPD,North,ND53,1872
52,IMPD,Southwest,SW13,1864
106,IMPD,Southwest,SW21,1845
91,IMPD,Southeast,SE42,1825
93,IMPD,Southeast,SE72,1797
105,IMPD,Southwest,SW72,1679
4,IMPD,Southwest,SW61,1649
115,IMPD,Southwest,SW23,1635
22,IMPD,Northwest,NW22,1542
68,Lawrence,Excluded,Excluded,1537
113,IMPD,North,ND63,1522
116,IMPD,Southwest,SW62,1514
13,IMPD,Northwest,NW51,1508
5,IMPD,North,ND62,1491
49,IMPD,Southeast,SE62,1423
12,IMPD,Northwest,NW62,1383
108,IMPD,North,ND42,1379
24,IMPD,Northwest,NW63,1334
39,IMPD,Southeast,SE81,1305
100,IMPD,Southeast,SE91,1272
1,IMPD,Southwest,SW63,1222
3,IMPD,Southwest,SW73,1198
112,IMPD,North,ND61,1177
2,IMPD,Southwest,SW52,1143
95,IMPD,Southeast,SE73,1100
114,IMPD,Southwest,SW71,1061
92,IMPD,Southeast,SE43,1054
37,IMPD,Southeast,SE82,1019
6,IMPD,North,ND51,926
94,IMPD,Southeast,SE71,793
69,Cumberland,Excluded,Excluded,766
84,IMPD,Southport,SPTSE,758
11,IMPD,Northwest,NW71,721
81,IUPUI,Excluded,Excluded,412
36,IMPD,Southeast,SE92,378
8,IMPD,North,MH,319
82,Marian University,Excluded,Excluded,167
9,IMPD,North,WC,35
83,Butler University,Excluded,Excluded,13
85,IUHLT,Excluded,Excluded,2
71,Airport Authority,Excluded,Excluded,0